FULL_ADDRESS,Middle_School,High_School,UNITCOUNT,ZIP5,CITY,STATE,STATUS,ADDRESS_TYPE,OBJECTID,Longitude,Latitude
1234 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2624,-77.07816247599999,38.888868768000066
1235 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2629,-77.07201365299994,38.88903925900007
1235 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2630,-77.07767276699997,38.888782571000036
1236 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2637,-77.07814172899998,38.888896170000066
1237 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2643,-77.07199008799995,38.889058058000046
1238 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2647,-77.07812268599997,38.88891919800005
1239 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2650,-77.07201900599995,38.88907746700005
1239 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2651,-77.07620940899994,38.88889228600004
1240 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2669,-77.07795296599994,38.88906688600008
1240 N ROLFE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2671,-77.07994644499996,38.88866351400003
1241 N NASH ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2677,-77.07199790399994,38.889094373000034
1245 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2688,-77.07623691099997,38.88909994800008
1250 N QUINN ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2716,-77.07760967399997,38.889150604000065
1250 N ROLFE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2717,-77.08001018999994,38.889129584000045
1251 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2719,-77.07627071399997,38.88930878300005
